input,target
How many students are enrolled in How to Make a Wordpress Website 2017?,12293
Is How to Make a Wordpress Website 2017 suitable for beginners?,No
What is the price of the course How to Make a Wordpress Website 2017?,0
What is the level of the course Install Wordpress?,Beginner Level
Which subject does the course Install Wordpress belong to?,Web Development
Is the course Install Wordpress free or paid?,paid
How many students are enrolled in Install Wordpress?,1447
Is Install Wordpress suitable for beginners?,Yes
What is the price of the course Install Wordpress?,20
What is the level of the course CSS Specialist: Comprehensive CSS Training?,Beginner Level
Which subject does the course CSS Specialist: Comprehensive CSS Training belong to?,Web Development
Is the course CSS Specialist: Comprehensive CSS Training free or paid?,paid
How many students are enrolled in CSS Specialist: Comprehensive CSS Training?,487
Is CSS Specialist: Comprehensive CSS Training suitable for beginners?,Yes
What is the price of the course CSS Specialist: Comprehensive CSS Training?,100
What is the level of the course Introduction to Laravel 4?,All Levels
Which subject does the course Introduction to Laravel 4 belong to?,Web Development
Is the course Introduction to Laravel 4 free or paid?,free
How many students are enrolled in Introduction to Laravel 4?,9110
Is Introduction to Laravel 4 suitable for beginners?,No
What is the price of the course Introduction to Laravel 4?,0
What is the level of the course Introduction to Elm?,Intermediate Level
Which subject does the course Introduction to Elm belong to?,Web Development
Is the course Introduction to Elm free or paid?,free
How many students are enrolled in Introduction to Elm?,1519
Is Introduction to Elm suitable for beginners?,No
What is the price of the course Introduction to Elm?,0
What is the level of the course Learn to Freelance with People Per hour  (URDU)?,All Levels
Which subject does the course Learn to Freelance with People Per hour  (URDU) belong to?,Web Development
Is the course Learn to Freelance with People Per hour  (URDU) free or paid?,paid
How many students are enrolled in Learn to Freelance with People Per hour  (URDU)?,948
Is Learn to Freelance with People Per hour  (URDU) suitable for beginners?,No
What is the price of the course Learn to Freelance with People Per hour  (URDU)?,20
What is the level of the course Learn Wordpress 4 from Scratch : Create Awesome Websites?,All Levels
Which subject does the course Learn Wordpress 4 from Scratch : Create Awesome Websites belong to?,Web Development
Is the course Learn Wordpress 4 from Scratch : Create Awesome Websites free or paid?,paid
How many students are enrolled in Learn Wordpress 4 from Scratch : Create Awesome Websites?,2023
Is Learn Wordpress 4 from Scratch : Create Awesome Websites suitable for beginners?,No
What is the price of the course Learn Wordpress 4 from Scratch : Create Awesome Websites?,75
What is the level of the course Amazon Alexa Development: From Beginner to Intermediate?,All Levels
Which subject does the course Amazon Alexa Development: From Beginner to Intermediate belong to?,Web Development
Is the course Amazon Alexa Development: From Beginner to Intermediate free or paid?,paid
How many students are enrolled in Amazon Alexa Development: From Beginner to Intermediate?,1858
Is Amazon Alexa Development: From Beginner to Intermediate suitable for beginners?,No
What is the price of the course Amazon Alexa Development: From Beginner to Intermediate?,140
What is the level of the course The Build a SAAS App with Flask Course?,All Levels
Which subject does the course The Build a SAAS App with Flask Course belong to?,Web Development
Is the course The Build a SAAS App with Flask Course free or paid?,paid
How many students are enrolled in The Build a SAAS App with Flask Course?,2244
Is The Build a SAAS App with Flask Course suitable for beginners?,No
What is the price of the course The Build a SAAS App with Flask Course?,40
What is the level of the course Learn JSON with JavaScript Objects and APIs in 1 hour?,Intermediate Level
Which subject does the course Learn JSON with JavaScript Objects and APIs in 1 hour belong to?,Web Development
Is the course Learn JSON with JavaScript Objects and APIs in 1 hour free or paid?,paid
How many students are enrolled in Learn JSON with JavaScript Objects and APIs in 1 hour?,3619
Is Learn JSON with JavaScript Objects and APIs in 1 hour suitable for beginners?,No
What is the price of the course Learn JSON with JavaScript Objects and APIs in 1 hour?,95
What is the level of the course 1 Hour JavaScript?,Beginner Level
Which subject does the course 1 Hour JavaScript belong to?,Web Development
Is the course 1 Hour JavaScript free or paid?,paid
How many students are enrolled in 1 Hour JavaScript?,22999
Is 1 Hour JavaScript suitable for beginners?,Yes
What is the price of the course 1 Hour JavaScript?,200
What is the level of the course Building An E-Commerce Store Using Java Spring Framework?,All Levels
Which subject does the course Building An E-Commerce Store Using Java Spring Framework belong to?,Web Development
Is the course Building An E-Commerce Store Using Java Spring Framework free or paid?,paid
How many students are enrolled in Building An E-Commerce Store Using Java Spring Framework?,2743
Is Building An E-Commerce Store Using Java Spring Framework suitable for beginners?,No
What is the price of the course Building An E-Commerce Store Using Java Spring Framework?,95
What is the level of the course Typescript Masterclass & FREE E-Book?,All Levels
Which subject does the course Typescript Masterclass & FREE E-Book belong to?,Web Development
Is the course Typescript Masterclass & FREE E-Book free or paid?,paid
How many students are enrolled in Typescript Masterclass & FREE E-Book?,1229
Is Typescript Masterclass & FREE E-Book suitable for beginners?,No
What is the price of the course Typescript Masterclass & FREE E-Book?,150
What is the level of the course PHP MVC Framework CodeIgniter Tutorial for Beginners Project?,All Levels
Which subject does the course PHP MVC Framework CodeIgniter Tutorial for Beginners Project belong to?,Web Development
Is the course PHP MVC Framework CodeIgniter Tutorial for Beginners Project free or paid?,paid
How many students are enrolled in PHP MVC Framework CodeIgniter Tutorial for Beginners Project?,3701
Is PHP MVC Framework CodeIgniter Tutorial for Beginners Project suitable for beginners?,No
What is the price of the course PHP MVC Framework CodeIgniter Tutorial for Beginners Project?,100
What is the level of the course JavaScript - Become Higly Paid Front End Developer?,Beginner Level
Which subject does the course JavaScript - Become Higly Paid Front End Developer belong to?,Web Development
Is the course JavaScript - Become Higly Paid Front End Developer free or paid?,paid
How many students are enrolled in JavaScript - Become Higly Paid Front End Developer?,710
Is JavaScript - Become Higly Paid Front End Developer suitable for beginners?,Yes
What is the price of the course JavaScript - Become Higly Paid Front End Developer?,105
